KEGG_pathway,Biochemical_class,Enzyme_class,PDB_structure,Mode_of_action,Outcome
"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Inflammatory mediator regulation of TRP channels",GPCR rhodopsin,,3RZE,.,1.0
"Cytokine-cytokine receptor interaction, Jak-STAT signaling pathway, Hematopoietic cell lineage, T cell receptor signaling pathway, Fc epsilon RI signaling pathway, Intestinal immune network for IgA production, Asthma, Autoimmune thyroid disease, Inflammatory bowel disease (IBD), Allograft rejection",Cytokine: interleukin,,"3VA2, 3QT2, 1HUL",Inhibitor,1.0
"Cytokine-cytokine receptor interaction, Jak-STAT signaling pathway, Hematopoietic cell lineage, T cell receptor signaling pathway, Fc epsilon RI signaling pathway, Intestinal immune network for IgA production, Asthma, Autoimmune thyroid disease, Inflammatory bowel disease (IBD), Allograft rejection",Cytokine: interleukin,,"3VA2, 3QT2, 1HUL",Modulator,1.0
"PI3K-Akt signaling pathway, Focal adhesion, ECM-receptor interaction, Cell adhesion molecules (CAMs), Hematopoietic cell lineage, Leukocyte transendothelial migration, Intestinal immune network for IgA production, Regulation of actin cytoskeleton, Leishmaniasis, Hypertrophic cardiomyopathy (HCM), Arrhythmogenic right ventricular cardiomyopathy (ARVC), Dilated cardiomyopathy",Integrin,,"5FPI, 5C7Z, 4HKC, 3V4V, 3V4P",Antagonist,1.0
"PI3K-Akt signaling pathway, Focal adhesion, ECM-receptor interaction, Cell adhesion molecules (CAMs), Hematopoietic cell lineage, Leukocyte transendothelial migration, Intestinal immune network for IgA production, Regulation of actin cytoskeleton, Leishmaniasis, Hypertrophic cardiomyopathy (HCM), Arrhythmogenic right ventricular cardiomyopathy (ARVC), Dilated cardiomyopathy",Integrin,,"5FPI, 5C7Z, 4HKC, 3V4V, 3V4P",Inhibitor,1.0
"PI3K-Akt signaling pathway, Focal adhesion, ECM-receptor interaction, Cell adhesion molecules (CAMs), Hematopoietic cell lineage, Leukocyte transendothelial migration, Intestinal immune network for IgA production, Regulation of actin cytoskeleton, Leishmaniasis, Hypertrophic cardiomyopathy (HCM), Arrhythmogenic right ventricular cardiomyopathy (ARVC), Dilated cardiomyopathy",Integrin,,"5FPI, 5C7Z, 4HKC, 3V4V, 3V4P",Binder,1.0
"PI3K-Akt signaling pathway, Focal adhesion, ECM-receptor interaction, Cell adhesion molecules (CAMs), Hematopoietic cell lineage, Leukocyte transendothelial migration, Intestinal immune network for IgA production, Regulation of actin cytoskeleton, Leishmaniasis, Hypertrophic cardiomyopathy (HCM), Arrhythmogenic right ventricular cardiomyopathy (ARVC), Dilated cardiomyopathy",Integrin,,"5FPI, 5C7Z, 4HKC, 3V4V, 3V4P",.,1.0
"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Vascular smooth muscle contraction",GPCR rhodopsin,,1YTV,Inhibitor,1.0
"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Vascular smooth muscle contraction",GPCR rhodopsin,,1YTV,Antagonist,1.0
"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Vascular smooth muscle contraction",GPCR rhodopsin,,1YTV,Agonist,1.0
"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Vascular smooth muscle contraction",GPCR rhodopsin,,1YTV,Modulator,1.0
"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Vascular smooth muscle contraction",GPCR rhodopsin,,1YTV,Stimulator,1.0
"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Ovarian steroidogenesis, Prolactin signaling pathway",GPCR rhodopsin,,"1XUL, 1LUT",Modulator,1.0
"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Ovarian steroidogenesis, Prolactin signaling pathway",GPCR rhodopsin,,"1XUL, 1LUT",Inhibitor,1.0
"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Ovarian steroidogenesis, Prolactin signaling pathway",GPCR rhodopsin,,"1XUL, 1LUT",Agonist,1.0
"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Ovarian steroidogenesis, Prolactin signaling pathway",GPCR rhodopsin,,"1XUL, 1LUT",Binder,1.0
"Neuroactive ligand-receptor interaction, Thyroid hormone signaling pathway",Nuclear hormone receptor,,"4LNX, 4LNW, 3JZB, 3ILZ, 3HZF",Agonist,1.0
"Neuroactive ligand-receptor interaction, Thyroid hormone signaling pathway",Nuclear hormone receptor,,"4LNX, 4LNW, 3JZB, 3ILZ, 3HZF",Inhibitor,1.0
"Neuroactive ligand-receptor interaction, Thyroid hormone signaling pathway",Nuclear hormone receptor,,"4LNX, 4LNW, 3JZB, 3ILZ, 3HZF",Modulator,1.0
"Neuroactive ligand-receptor interaction, Thyroid hormone signaling pathway",Nuclear hormone receptor,,"4LNX, 4LNW, 3JZB, 3ILZ, 3HZF",Antagonist,1.0
"MAPK signaling pathway, Rap1 signaling pathway, FoxO signaling pathway, Sphingolipid signaling pathway, Oocyte meiosis, Adrenergic signaling in cardiomyocytes, VEGF signaling pathway, Osteoclast differentiation, Signaling pathways regulating pluripotency of stem cells, Platelet activation, Toll-like receptor signaling pathway, NOD-like receptor signaling pathway, RIG-I-like receptor signaling pathway, T cell receptor signaling pathway, Fc epsilon RI signaling pathway, TNF signaling pathway, Leukocyte transendothelial migration, Neurotrophin signaling pathway, Retrograde endocannabinoid signaling, Dopaminergic synapse, Inflammatory mediator regulation of TRP channels, GnRH signaling pathway, Progesterone-mediated oocyte maturation, Prolactin signaling pathway, Amyotrophic lateral sclerosis (ALS), Epithelial cell signaling in Helicobacter pylori infection, Shigellosis, Salmonella infection, Pertussis, Leishmaniasis, Chagas disease (American trypanosomiasis), Toxoplasmosis, Tuberculosis, Hepatitis C, Influenza A, Epstein-Barr virus infection, Proteoglycans in cancer",Kinase,Transferases,"4QUM, 1CM8",Inhibitor,1.0
"Inositol phosphate metabolism, ErbB signaling pathway, Ras signaling pathway, Rap1 signaling pathway, cGMP-PKG signaling pathway, cAMP signaling pathway, Chemokine signaling pathway, HIF-1 signaling pathway, FoxO signaling pathway, Phosphatidylinositol signaling system, Sphingolipid signaling pathway, mTOR signaling pathway, PI3K-Akt signaling pathway, AMPK signaling pathway, Apoptosis, Adrenergic signaling in cardiomyocytes, VEGF signaling pathway, Osteoclast differentiation, Focal adhesion, Signaling pathways regulating pluripotency of stem cells, Platelet activation, Toll-like receptor signaling pathway, Jak-STAT signaling pathway, Natural killer cell mediated cytotoxicity, T cell receptor signaling pathway, B cell receptor signaling pathway, Fc epsilon RI signaling pathway, Fc gamma R-mediated phagocytosis, TNF signaling pathway, Leukocyte transendothelial migration, Neurotrophin signaling pathway, Cholinergic synapse, Inflammatory mediator regulation of TRP channels, Regulation of actin cytoskeleton, Insulin signaling pathway, Progesterone-mediated oocyte maturation, Estrogen signaling pathway, Prolactin signaling pathway, Thyroid hormone signaling pathway, Oxytocin signaling pathway, Regulation of lipolysis in adipocytes, Type II diabetes mellitus, Non-alcoholic fatty liver disease (NAFLD), Aldosterone-regulated sodium reabsorption, Carbohydrate digestion and absorption, Bacterial invasion of epithelial cells, Chagas disease (American trypanosomiasis), Toxoplasmosis, Amoebiasis, Hepatitis C, Hepatitis B, Measles, Influenza A, HTLV-I infection, Epstein-Barr virus infection, Pathways in cancer, Viral carcinogenesis, Proteoglycans in cancer, MicroRNAs in cancer, Colorectal cancer, Renal cell carcinoma, Pancreatic cancer, Endometrial cancer, Glioma, Prostate cancer, Melanoma, Chronic myeloid leukemia, Acute myeloid leukemia, Small cell lung cancer, Non-small cell lung cancer, Central carbon metabolism in cancer, Choline metabolism in cancer",Kinase,Transferases,"6NCT, 5XGJ, 5XGI, 5XGH, 5UL1",Inhibitor,1.0
"Inositol phosphate metabolism, ErbB signaling pathway, Ras signaling pathway, Rap1 signaling pathway, cGMP-PKG signaling pathway, cAMP signaling pathway, Chemokine signaling pathway, HIF-1 signaling pathway, FoxO signaling pathway, Phosphatidylinositol signaling system, Sphingolipid signaling pathway, mTOR signaling pathway, PI3K-Akt signaling pathway, AMPK signaling pathway, Apoptosis, Adrenergic signaling in cardiomyocytes, VEGF signaling pathway, Osteoclast differentiation, Focal adhesion, Signaling pathways regulating pluripotency of stem cells, Platelet activation, Toll-like receptor signaling pathway, Jak-STAT signaling pathway, Natural killer cell mediated cytotoxicity, T cell receptor signaling pathway, B cell receptor signaling pathway, Fc epsilon RI signaling pathway, Fc gamma R-mediated phagocytosis, TNF signaling pathway, Leukocyte transendothelial migration, Neurotrophin signaling pathway, Cholinergic synapse, Inflammatory mediator regulation of TRP channels, Regulation of actin cytoskeleton, Insulin signaling pathway, Progesterone-mediated oocyte maturation, Estrogen signaling pathway, Prolactin signaling pathway, Thyroid hormone signaling pathway, Oxytocin signaling pathway, Regulation of lipolysis in adipocytes, Type II diabetes mellitus, Non-alcoholic fatty liver disease (NAFLD), Aldosterone-regulated sodium reabsorption, Carbohydrate digestion and absorption, Bacterial invasion of epithelial cells, Chagas disease (American trypanosomiasis), Toxoplasmosis, Amoebiasis, Hepatitis C, Hepatitis B, Measles, Influenza A, HTLV-I infection, Epstein-Barr virus infection, Pathways in cancer, Viral carcinogenesis, Proteoglycans in cancer, MicroRNAs in cancer, Colorectal cancer, Renal cell carcinoma, Pancreatic cancer, Endometrial cancer, Glioma, Prostate cancer, Melanoma, Chronic myeloid leukemia, Acute myeloid leukemia, Small cell lung cancer, Non-small cell lung cancer, Central carbon metabolism in cancer, Choline metabolism in cancer",Kinase,Transferases,"6NCT, 5XGJ, 5XGI, 5XGH, 5UL1",Modulator,1.0
"Neuroactive ligand-receptor interaction, Retrograde endocannabinoid signaling, Serotonergic synapse, GABAergic synapse, Morphine addiction, Nicotine addiction",Neurotransmitter receptor,,"6D6U, 6D6T",Inhibitor,1.0
"Neuroactive ligand-receptor interaction, Retrograde endocannabinoid signaling, Serotonergic synapse, GABAergic synapse, Morphine addiction, Nicotine addiction",Neurotransmitter receptor,,"6D6U, 6D6T",Blocker (channel blocker),1.0
"Neuroactive ligand-receptor interaction, Retrograde endocannabinoid signaling, Serotonergic synapse, GABAergic synapse, Morphine addiction, Nicotine addiction",Neurotransmitter receptor,,"6D6U, 6D6T",Antagonist,1.0
"Estrogen signaling pathway, Prolactin signaling pathway",Nuclear hormone receptor,,"5TOA, 4ZI1, 4J26, 4J24, 3OMQ",Agonist,1.0
"Estrogen signaling pathway, Prolactin signaling pathway",Nuclear hormone receptor,,"5TOA, 4ZI1, 4J26, 4J24, 3OMQ",Modulator,1.0
"Estrogen signaling pathway, Prolactin signaling pathway",Nuclear hormone receptor,,"5TOA, 4ZI1, 4J26, 4J24, 3OMQ",Antagonist,1.0
"Estrogen signaling pathway, Prolactin signaling pathway",Nuclear hormone receptor,,"5TOA, 4ZI1, 4J26, 4J24, 3OMQ",Inhibitor,1.0
"Ras signaling pathway, Rap1 signaling pathway, Cytokine-cytokine receptor interaction, Endocytosis, PI3K-Akt signaling pathway, VEGF signaling pathway, Focal adhesion, Proteoglycans in cancer",Kinase,Transferases,"6GQQ, 6GQP, 6GQO, 5OYJ, 5EW3",Inhibitor,1.0
"Ras signaling pathway, Rap1 signaling pathway, Cytokine-cytokine receptor interaction, Endocytosis, PI3K-Akt signaling pathway, VEGF signaling pathway, Focal adhesion, Proteoglycans in cancer",Kinase,Transferases,"6GQQ, 6GQP, 6GQO, 5OYJ, 5EW3",.,1.0
"Ras signaling pathway, Rap1 signaling pathway, Cytokine-cytokine receptor interaction, Endocytosis, PI3K-Akt signaling pathway, VEGF signaling pathway, Focal adhesion, Proteoglycans in cancer",Kinase,Transferases,"6GQQ, 6GQP, 6GQO, 5OYJ, 5EW3",Antagonist,1.0
"Ras signaling pathway, Rap1 signaling pathway, Cytokine-cytokine receptor interaction, Endocytosis, PI3K-Akt signaling pathway, VEGF signaling pathway, Focal adhesion, Proteoglycans in cancer",Kinase,Transferases,"6GQQ, 6GQP, 6GQO, 5OYJ, 5EW3",Modulator,1.0
"Ras signaling pathway, Rap1 signaling pathway, Cytokine-cytokine receptor interaction, Endocytosis, PI3K-Akt signaling pathway, VEGF signaling pathway, Focal adhesion, Proteoglycans in cancer",Kinase,Transferases,"6GQQ, 6GQP, 6GQO, 5OYJ, 5EW3",Binder,1.0
,mRNA target,Transferases,"6GQQ, 6GQP, 6GQO, 5OYJ, 5EW3",.,0.0
"Steroid biosynthesis, Metabolic pathways, Biosynthesis of antibiotics",Alkyl aryl transferase,Transferases,"3WSA, 3WEK, 3WEJ, 3WEI, 3WEH",Inhibitor,0.0
"Steroid biosynthesis, Metabolic pathways, Biosynthesis of antibiotics",Alkyl aryl transferase,Transferases,"3WSA, 3WEK, 3WEJ, 3WEI, 3WEH",Modulator,0.0
Alzheimer's disease,Peptidase,Hydrolases,"6MQ3, 6EDS, 6BYZ, 6BFC, 6BF9",Inhibitor,1.0
Alzheimer's disease,Peptidase,Hydrolases,"6MQ3, 6EDS, 6BYZ, 6BFC, 6BF9",Modulator,1.0
"Renin-angiotensin system, Chagas disease (American trypanosomiasis), Hypertrophic cardiomyopathy (HCM)",Glycosylase,Hydrolases,"6QS1, 6H5X, 6H5W, 6F9V, 6F9U",Inhibitor,1.0
"Renin-angiotensin system, Chagas disease (American trypanosomiasis), Hypertrophic cardiomyopathy (HCM)",Glycosylase,Hydrolases,"6QS1, 6H5X, 6H5W, 6F9V, 6F9U",Modulator,1.0
Complement and coagulation cascades,Peptidase,Hydrolases,"6O1S, 6O1G, 6I44, 5TJX, 5F8Z",Inhibitor,1.0
Complement and coagulation cascades,Peptidase,Hydrolases,"6O1S, 6O1G, 6I44, 5TJX, 5F8Z",Modulator,1.0
"Rap1 signaling pathway, Wnt signaling pathway, Hippo signaling pathway, Focal adhesion, Adherens junction, Tight junction, Signaling pathways regulating pluripotency of stem cells, Leukocyte transendothelial migration, Melanogenesis, Thyroid hormone signaling pathway, Bacterial invasion of epithelial cells, Pathogenic Escherichia coli infection, HTLV-I infection, Pathways in cancer, Proteoglycans in cancer, Colorectal cancer, Endometrial cancer, Prostate cancer, Thyroid cancer, Basal cell carcinoma, Arrhythmogenic right ventricular cardiomyopathy (ARVC)",Beta-catenin,,"6M94, 6M93, 6M92, 6M91, 6M90",.,1.0
"Rap1 signaling pathway, Wnt signaling pathway, Hippo signaling pathway, Focal adhesion, Adherens junction, Tight junction, Signaling pathways regulating pluripotency of stem cells, Leukocyte transendothelial migration, Melanogenesis, Thyroid hormone signaling pathway, Bacterial invasion of epithelial cells, Pathogenic Escherichia coli infection, HTLV-I infection, Pathways in cancer, Proteoglycans in cancer, Colorectal cancer, Endometrial cancer, Prostate cancer, Thyroid cancer, Basal cell carcinoma, Arrhythmogenic right ventricular cardiomyopathy (ARVC)",Beta-catenin,,"6M94, 6M93, 6M92, 6M91, 6M90",Inhibitor,1.0
"Rap1 signaling pathway, Wnt signaling pathway, Hippo signaling pathway, Focal adhesion, Adherens junction, Tight junction, Signaling pathways regulating pluripotency of stem cells, Leukocyte transendothelial migration, Melanogenesis, Thyroid hormone signaling pathway, Bacterial invasion of epithelial cells, Pathogenic Escherichia coli infection, HTLV-I infection, Pathways in cancer, Proteoglycans in cancer, Colorectal cancer, Endometrial cancer, Prostate cancer, Thyroid cancer, Basal cell carcinoma, Arrhythmogenic right ventricular cardiomyopathy (ARVC)",Beta-catenin,,"6M94, 6M93, 6M92, 6M91, 6M90",Modulator,1.0
"Ras signaling pathway, Rap1 signaling pathway, cGMP-PKG signaling pathway, HIF-1 signaling pathway, FoxO signaling pathway, Oocyte meiosis, Regulation of autophagy, mTOR signaling pathway, PI3K-Akt signaling pathway, AMPK signaling pathway, Regulation of actin cytoskeleton, Insulin signaling pathway, Insulin secretion, Ovarian steroidogenesis, Progesterone-mediated oocyte maturation, Prolactin signaling pathway, Type II diabetes mellitus, Non-alcoholic fatty liver disease (NAFLD), Type I diabetes mellitus, Maturity onset diabetes of the young, Aldosterone-regulated sodium reabsorption, Prostate cancer",,,"6HN5, 6CK2, 6CEB, 6CE9, 6CE7",Modulator,1.0
"Ras signaling pathway, Rap1 signaling pathway, cGMP-PKG signaling pathway, HIF-1 signaling pathway, FoxO signaling pathway, Oocyte meiosis, Regulation of autophagy, mTOR signaling pathway, PI3K-Akt signaling pathway, AMPK signaling pathway, Regulation of actin cytoskeleton, Insulin signaling pathway, Insulin secretion, Ovarian steroidogenesis, Progesterone-mediated oocyte maturation, Prolactin signaling pathway, Type II diabetes mellitus, Non-alcoholic fatty liver disease (NAFLD), Type I diabetes mellitus, Maturity onset diabetes of the young, Aldosterone-regulated sodium reabsorption, Prostate cancer",,,"6HN5, 6CK2, 6CEB, 6CE9, 6CE7",Agonist,1.0
"Glycine, serine and threonine metabolism, Arginine and proline metabolism, Histidine metabolism, Tyrosine metabolism, Phenylalanine metabolism, Tryptophan metabolism, Drug metabolism - cytochrome P450, Metabolic pathways, Serotonergic synapse, Dopaminergic synapse, Cocaine addiction, Amphetamine addiction, Alcoholism",CH-NH(2) donor oxidoreductase,Oxidoreductases,"6FWC, 6FW0, 6FVZ, 5MRL, 4CRT",Inhibitor,1.0
"Glycine, serine and threonine metabolism, Arginine and proline metabolism, Histidine metabolism, Tyrosine metabolism, Phenylalanine metabolism, Tryptophan metabolism, Drug metabolism - cytochrome P450, Metabolic pathways, Serotonergic synapse, Dopaminergic synapse, Cocaine addiction, Amphetamine addiction, Alcoholism",CH-NH(2) donor oxidoreductase,Oxidoreductases,"6FWC, 6FW0, 6FVZ, 5MRL, 4CRT",Modulator,1.0
"Glycine, serine and threonine metabolism, Arginine and proline metabolism, Histidine metabolism, Tyrosine metabolism, Phenylalanine metabolism, Tryptophan metabolism, Drug metabolism - cytochrome P450, Metabolic pathways, Serotonergic synapse, Dopaminergic synapse, Cocaine addiction, Amphetamine addiction, Alcoholism",CH-NH(2) donor oxidoreductase,Oxidoreductases,"6FWC, 6FW0, 6FVZ, 5MRL, 4CRT",Antagonist,1.0
"Glycine, serine and threonine metabolism, Arginine and proline metabolism, Histidine metabolism, Tyrosine metabolism, Phenylalanine metabolism, Tryptophan metabolism, Drug metabolism - cytochrome P450, Metabolic pathways, Serotonergic synapse, Dopaminergic synapse, Cocaine addiction, Amphetamine addiction, Alcoholism",CH-NH(2) donor oxidoreductase,Oxidoreductases,"6FWC, 6FW0, 6FVZ, 5MRL, 4CRT",.,1.0
Complement and coagulation cascades,Peptidase,Hydrolases,"6MV4, 5VYG, 5TNT, 5TNO, 5JBC",Modulator,1.0
Complement and coagulation cascades,Peptidase,Hydrolases,"6MV4, 5VYG, 5TNT, 5TNO, 5JBC",Inhibitor,1.0
Complement and coagulation cascades,Peptidase,Hydrolases,"6MV4, 5VYG, 5TNT, 5TNO, 5JBC",.,1.0
Complement and coagulation cascades,Peptidase,Hydrolases,"6MV4, 5VYG, 5TNT, 5TNO, 5JBC",Replacement,1.0
Endocytosis,Folate receptor,,"5IZQ, 4LRH, 4KMX, 4KM7, 4KM6",Inhibitor,1.0
Endocytosis,Folate receptor,,"5IZQ, 4LRH, 4KMX, 4KM7, 4KM6",Modulator,1.0
Endocytosis,Folate receptor,,"5IZQ, 4LRH, 4KMX, 4KM7, 4KM6",.,1.0
Endocytosis,Folate receptor,,"5IZQ, 4LRH, 4KMX, 4KM7, 4KM6",Antagonist,1.0
"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Gap junction, Serotonergic synapse, Inflammatory mediator regulation of TRP channels",GPCR rhodopsin,,"6BQH, 6BQG",Agonist,1.0
"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Gap junction, Serotonergic synapse, Inflammatory mediator regulation of TRP channels",GPCR rhodopsin,,"6BQH, 6BQG",Antagonist,1.0
"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Gap junction, Serotonergic synapse, Inflammatory mediator regulation of TRP channels",GPCR rhodopsin,,"6BQH, 6BQG",Inhibitor,1.0
"Calcium signaling pathway, Neuroactive ligand-receptor interaction, Gap junction, Serotonergic synapse, Inflammatory mediator regulation of TRP channels",GPCR rhodopsin,,"6BQH, 6BQG",Modulator,1.0
"Glycine, serine and threonine metabolism, Arginine and proline metabolism, Histidine metabolism, Tyrosine metabolism, Phenylalanine metabolism, Tryptophan metabolism, Drug metabolism - cytochrome P450, Metabolic pathways, Serotonergic synapse, Dopaminergic synapse, Cocaine addiction, Amphetamine addiction, Alcoholism",CH-NH(2) donor oxidoreductase,Oxidoreductases,"2Z5Y, 2Z5X, 2BXS, 2BXR, 1H8Q",Inhibitor,1.0
"Glycine, serine and threonine metabolism, Arginine and proline metabolism, Histidine metabolism, Tyrosine metabolism, Phenylalanine metabolism, Tryptophan metabolism, Drug metabolism - cytochrome P450, Metabolic pathways, Serotonergic synapse, Dopaminergic synapse, Cocaine addiction, Amphetamine addiction, Alcoholism",CH-NH(2) donor oxidoreductase,Oxidoreductases,"2Z5Y, 2Z5X, 2BXS, 2BXR, 1H8Q",Antagonist,1.0
"Glycine, serine and threonine metabolism, Arginine and proline metabolism, Histidine metabolism, Tyrosine metabolism, Phenylalanine metabolism, Tryptophan metabolism, Drug metabolism - cytochrome P450, Metabolic pathways, Serotonergic synapse, Dopaminergic synapse, Cocaine addiction, Amphetamine addiction, Alcoholism",CH-NH(2) donor oxidoreductase,Oxidoreductases,"2Z5Y, 2Z5X, 2BXS, 2BXR, 1H8Q",Modulator,1.0
"Glycine, serine and threonine metabolism, Arginine and proline metabolism, Histidine metabolism, Tyrosine metabolism, Phenylalanine metabolism, Tryptophan metabolism, Drug metabolism - cytochrome P450, Metabolic pathways, Serotonergic synapse, Dopaminergic synapse, Cocaine addiction, Amphetamine addiction, Alcoholism",CH-NH(2) donor oxidoreductase,Oxidoreductases,"2Z5Y, 2Z5X, 2BXS, 2BXR, 1H8Q",.,1.0
Inflammatory mediator regulation of TRP channels,Transient receptor potential catioin channel,,3J9P,Antagonist,1.0
Inflammatory mediator regulation of TRP channels,Transient receptor potential catioin channel,,3J9P,Activator,1.0
Inflammatory mediator regulation of TRP channels,Transient receptor potential catioin channel,,3J9P,Inhibitor (gating inhibitor),1.0
Inflammatory mediator regulation of TRP channels,Transient receptor potential catioin channel,,3J9P,Inhibitor,1.0
"Other glycan degradation, Sphingolipid metabolism, Metabolic pathways, Lysosome",Glycosylase,Hydrolases,"6Q6N, 6Q6L, 6Q6K, 5LVX, 3RIL",Inhibitor,1.0
"Other glycan degradation, Sphingolipid metabolism, Metabolic pathways, Lysosome",Glycosylase,Hydrolases,"6Q6N, 6Q6L, 6Q6K, 5LVX, 3RIL",Modulator,1.0
"Steroid hormone biosynthesis, Metabolic pathways",Paired donor oxygen oxidoreductase,Oxidoreductases,6M7X,Inhibitor,1.0
"Steroid hormone biosynthesis, Metabolic pathways",Paired donor oxygen oxidoreductase,Oxidoreductases,6M7X,Modulator,1.0
Complement and coagulation cascades,Peptidase,Hydrolases,"6RK9, 5VOF, 5VOE, 5K0H, 5JZU",Modulator,1.0
Complement and coagulation cascades,Peptidase,Hydrolases,"6RK9, 5VOF, 5VOE, 5K0H, 5JZU",Inhibitor,1.0
Complement and coagulation cascades,Peptidase,Hydrolases,"6RK9, 5VOF, 5VOE, 5K0H, 5JZU",Antagonist,1.0
Complement and coagulation cascades,Peptidase,Hydrolases,"6RK9, 5VOF, 5VOE, 5K0H, 5JZU",Activator,1.0
"MAPK signaling pathway, Neurotrophin signaling pathway, Alcoholism",Kinase,Transferases,"5MO9, 4AT5, 4AT4, 4AT3, 4ASZ",Modulator,1.0
"MAPK signaling pathway, Neurotrophin signaling pathway, Alcoholism",Kinase,Transferases,"5MO9, 4AT5, 4AT4, 4AT3, 4ASZ",Inhibitor,1.0
,Kinase,Transferases,2DFM,Inhibitor,1.0
,Kinase,Transferases,2DFM,.,1.0
,Kinase,Transferases,2DFM,Modulator,1.0
"Ras signaling pathway, Rap1 signaling pathway, cGMP-PKG signaling pathway, HIF-1 signaling pathway, FoxO signaling pathway, PI3K-Akt signaling pathway, AMPK signaling pathway, Adherens junction, Insulin signaling pathway, Ovarian steroidogenesis, Type II diabetes mellitus, Non-alcoholic fatty liver disease (NAFLD), Aldosterone-regulated sodium reabsorption",Kinase,Transferases,"6HN5, 6HN4, 5U1M, 5KQV, 5J3H",Modulator,1.0
"Ras signaling pathway, Rap1 signaling pathway, cGMP-PKG signaling pathway, HIF-1 signaling pathway, FoxO signaling pathway, PI3K-Akt signaling pathway, AMPK signaling pathway, Adherens junction, Insulin signaling pathway, Ovarian steroidogenesis, Type II diabetes mellitus, Non-alcoholic fatty liver disease (NAFLD), Aldosterone-regulated sodium reabsorption",Kinase,Transferases,"6HN5, 6HN4, 5U1M, 5KQV, 5J3H",.,1.0
"Ras signaling pathway, Rap1 signaling pathway, cGMP-PKG signaling pathway, HIF-1 signaling pathway, FoxO signaling pathway, PI3K-Akt signaling pathway, AMPK signaling pathway, Adherens junction, Insulin signaling pathway, Ovarian steroidogenesis, Type II diabetes mellitus, Non-alcoholic fatty liver disease (NAFLD), Aldosterone-regulated sodium reabsorption",Kinase,Transferases,"6HN5, 6HN4, 5U1M, 5KQV, 5J3H",Inhibitor,1.0
"Ras signaling pathway, Rap1 signaling pathway, cGMP-PKG signaling pathway, HIF-1 signaling pathway, FoxO signaling pathway, PI3K-Akt signaling pathway, AMPK signaling pathway, Adherens junction, Insulin signaling pathway, Ovarian steroidogenesis, Type II diabetes mellitus, Non-alcoholic fatty liver disease (NAFLD), Aldosterone-regulated sodium reabsorption",Kinase,Transferases,"6HN5, 6HN4, 5U1M, 5KQV, 5J3H",Agonist,1.0
"Ras signaling pathway, Rap1 signaling pathway, cGMP-PKG signaling pathway, HIF-1 signaling pathway, FoxO signaling pathway, PI3K-Akt signaling pathway, AMPK signaling pathway, Adherens junction, Insulin signaling pathway, Ovarian steroidogenesis, Type II diabetes mellitus, Non-alcoholic fatty liver disease (NAFLD), Aldosterone-regulated sodium reabsorption",Kinase,Transferases,"6HN5, 6HN4, 5U1M, 5KQV, 5J3H",Activator,1.0
"Ras signaling pathway, Rap1 signaling pathway, cGMP-PKG signaling pathway, HIF-1 signaling pathway, FoxO signaling pathway, PI3K-Akt signaling pathway, AMPK signaling pathway, Adherens junction, Insulin signaling pathway, Ovarian steroidogenesis, Type II diabetes mellitus, Non-alcoholic fatty liver disease (NAFLD), Aldosterone-regulated sodium reabsorption",Kinase,Transferases,"6HN5, 6HN4, 5U1M, 5KQV, 5J3H",Enhancer,1.0
"Ras signaling pathway, Rap1 signaling pathway, cGMP-PKG signaling pathway, HIF-1 signaling pathway, FoxO signaling pathway, PI3K-Akt signaling pathway, AMPK signaling pathway, Adherens junction, Insulin signaling pathway, Ovarian steroidogenesis, Type II diabetes mellitus, Non-alcoholic fatty liver disease (NAFLD), Aldosterone-regulated sodium reabsorption",Kinase,Transferases,"6HN5, 6HN4, 5U1M, 5KQV, 5J3H",Stimulator,1.0
"Ras signaling pathway, Rap1 signaling pathway, cGMP-PKG signaling pathway, HIF-1 signaling pathway, FoxO signaling pathway, PI3K-Akt signaling pathway, AMPK signaling pathway, Adherens junction, Insulin signaling pathway, Ovarian steroidogenesis, Type II diabetes mellitus, Non-alcoholic fatty liver disease (NAFLD), Aldosterone-regulated sodium reabsorption",Kinase,Transferases,"6HN5, 6HN4, 5U1M, 5KQV, 5J3H",Binder,1.0
"Cell adhesion molecules (CAMs), T cell receptor signaling pathway, Intestinal immune network for IgA production, Type I diabetes mellitus, Measles, Autoimmune thyroid disease, Systemic lupus erythematosus, Rheumatoid arthritis, Allograft rejection, Graft-versus-host disease, Viral myocarditis",,,"5GJI, 5GJH, 5AUL, 3WA4, 1YJD",CAR-T-Cell-Therapy(Dual specific),1.0
